0,1,2
query-67,how to make my own fridge magnets,bm25+rm3+t5
query-68,how to organize a kitchen,bm25+rm3+t5
query-71,help me clean the oven,bm25+rm3+t5
query-72,how to clean the windows,bm25+rm3+t5
query-73,how to pick a lock with paper clips,bm25+rm3+t5
query-74,how to cut my own hair,bm25+rm3+t5
query-76,how to write a resume for a job,bm25+rm3+t5
query-81,how to paint on ceramic,bm25+rm3+t5
query-83,how to make a paper fortune teller,bm25+rm3+t5
query-84,how to fold a paper airplane,bm25+rm3+t5
query-86,how to make finger puppets,bm25+rm3+t5
query-90,how to make an asian lantern,bm25+rm3+t5
query-95,how to replace a door,bm25+rm3+t5
query-98,how to grow lemons,bm25+rm3+t5
query-0,how to choose a good hairstyle for men,ance+t5
query-1,how to learn a new language,ance+t5
query-11,how to write a biography for a book,ance+t5
query-16,how to plant tulips,ance+t5
query-34,how to fix a blocked shower drain,ance+t5
query-37,how to run  marathon,ance+t5
query-39,fix a cracked phone screen,ance+t5
query-45,how to warm up before a run,ance+t5
query-63,how to set up a tent,ance+t5
query-70,how to build a dog house,ance+t5
query-75,how to build a gaming computer,ance+t5
query-87,how to repaint wooden furniture,ance+t5
query-91,how to make paper flowers,ance+t5
query-92,how to start a grill,ance+t5
query-96,how to fix a door handle,ance+t5
query-0,how to choose a good hairstyle for men,ance
query-1,how to learn a new language,ance
query-11,how to write a biography for a book,ance
query-16,how to plant tulips,ance
query-34,how to fix a blocked shower drain,ance
query-37,how to run  marathon,ance
query-39,fix a cracked phone screen,ance
query-45,how to warm up before a run,ance
query-63,how to set up a tent,ance
query-70,how to build a dog house,ance
query-75,how to build a gaming computer,ance
query-87,how to repaint wooden furniture,ance
query-91,how to make paper flowers,ance
query-92,how to start a grill,ance
query-96,how to fix a door handle,ance
query-16,how to plant tulips,TCT-ColBERTv2+t5
query-21,put on a bike chain,TCT-ColBERTv2+t5
query-22,fix a water heater,TCT-ColBERTv2+t5
query-23,build a simple kite,TCT-ColBERTv2+t5
query-25,chop an onion like a pro,TCT-ColBERTv2+t5
query-28,fix a stuck zipper,TCT-ColBERTv2+t5
query-37,how to run  marathon,TCT-ColBERTv2+t5
query-42,learn a chess opening,TCT-ColBERTv2+t5
query-44,how to iron a suit,TCT-ColBERTv2+t5
query-47,how to install a sprinkler system,TCT-ColBERTv2+t5
query-5,help me paint an interior wall,TCT-ColBERTv2+t5
query-51,how to replace a toilet seat,TCT-ColBERTv2+t5
query-61,how to make a coaster,TCT-ColBERTv2+t5
query-63,how to set up a tent,TCT-ColBERTv2+t5
query-64,how to knit mittens,TCT-ColBERTv2+t5
query-66,how to make stickers,TCT-ColBERTv2+t5
query-70,how to build a dog house,TCT-ColBERTv2+t5
query-72,how to clean the windows,TCT-ColBERTv2+t5
query-77,how to wash a newborn baby,TCT-ColBERTv2+t5
query-78,how to train a dog to behave outside,TCT-ColBERTv2+t5
query-79,how to clean garden tools,TCT-ColBERTv2+t5
query-80,how to make a professional book cover,TCT-ColBERTv2+t5
query-9,how can I screw in a nail,TCT-ColBERTv2+t5
query-92,how to start a grill,TCT-ColBERTv2+t5
query-93,how to motivate my child,TCT-ColBERTv2+t5
query-96,how to fix a door handle,TCT-ColBERTv2+t5
query-97,how to make kitchen curtains,TCT-ColBERTv2+t5
query-13,how to grow strawberries,bm25
query-14,how to grow cherry tomatoes,bm25
query-15,how to grow blueberries,bm25
query-17,how to wash a cutting board,bm25
query-2,how to remove food stains from a carpet,bm25
query-21,put on a bike chain,bm25
query-22,fix a water heater,bm25
query-23,build a simple kite,bm25
query-24,learn how to juggle three balls,bm25
query-26,how to hand whistle,bm25
query-28,fix a stuck zipper,bm25
query-29,paint a metal fence,bm25
query-3,how to wash a car with less water,bm25
query-30,create an outdoor fireplace,bm25
query-31,how to remove a tree,bm25
query-33,make a gravel garden path,bm25
query-36,how to build a hamster cage,bm25
query-4,how do I decorate an office,bm25
query-41,how to solve a rubik's cube,bm25
query-42,learn a chess opening,bm25
query-43,how to replace a window,bm25
query-47,how to install a sprinkler system,bm25
query-48,how to change a child's diaper,bm25
query-52,fix a leaking shower,bm25
query-56,how to make a keychain,bm25
query-59,how to build a toy for a pet,bm25
query-6,how do you remove crown mold from a wall,bm25
query-61,how to make a coaster,bm25
query-62,how to draw a birthday card,bm25
query-63,how to set up a tent,bm25
query-65,how to learn to ice skate,bm25
query-68,how to organize a kitchen,bm25
query-69,how to make christmas ornaments,bm25
query-71,help me clean the oven,bm25
query-72,how to clean the windows,bm25
query-74,how to cut my own hair,bm25
query-81,how to paint on ceramic,bm25
query-83,how to make a paper fortune teller,bm25
query-84,how to fold a paper airplane,bm25
query-86,how to make finger puppets,bm25
query-90,how to make an asian lantern,bm25
query-95,how to replace a door,bm25
query-98,how to grow lemons,bm25
query-13,how to grow strawberries,bm25+t5
query-14,how to grow cherry tomatoes,bm25+t5
query-15,how to grow blueberries,bm25+t5
query-17,how to wash a cutting board,bm25+t5
query-2,how to remove food stains from a carpet,bm25+t5
query-21,put on a bike chain,bm25+t5
query-22,fix a water heater,bm25+t5
query-23,build a simple kite,bm25+t5
query-24,learn how to juggle three balls,bm25+t5
query-26,how to hand whistle,bm25+t5
query-28,fix a stuck zipper,bm25+t5
query-29,paint a metal fence,bm25+t5
query-3,how to wash a car with less water,bm25+t5
query-30,create an outdoor fireplace,bm25+t5
query-31,how to remove a tree,bm25+t5
query-33,make a gravel garden path,bm25+t5
query-36,how to build a hamster cage,bm25+t5
query-4,how do I decorate an office,bm25+t5
query-41,how to solve a rubik's cube,bm25+t5
query-42,learn a chess opening,bm25+t5
query-43,how to replace a window,bm25+t5
query-47,how to install a sprinkler system,bm25+t5
query-48,how to change a child's diaper,bm25+t5
query-52,fix a leaking shower,bm25+t5
query-56,how to make a keychain,bm25+t5
query-59,how to build a toy for a pet,bm25+t5
query-6,how do you remove crown mold from a wall,bm25+t5
query-61,how to make a coaster,bm25+t5
query-62,how to draw a birthday card,bm25+t5
query-63,how to set up a tent,bm25+t5
query-65,how to learn to ice skate,bm25+t5
query-68,how to organize a kitchen,bm25+t5
query-69,how to make christmas ornaments,bm25+t5
query-71,help me clean the oven,bm25+t5
query-72,how to clean the windows,bm25+t5
query-74,how to cut my own hair,bm25+t5
query-81,how to paint on ceramic,bm25+t5
query-83,how to make a paper fortune teller,bm25+t5
query-84,how to fold a paper airplane,bm25+t5
query-86,how to make finger puppets,bm25+t5
query-90,how to make an asian lantern,bm25+t5
query-95,how to replace a door,bm25+t5
query-98,how to grow lemons,bm25+t5
query-16,how to plant tulips,TCT-ColBERTv2
query-21,put on a bike chain,TCT-ColBERTv2
query-22,fix a water heater,TCT-ColBERTv2
query-23,build a simple kite,TCT-ColBERTv2
query-25,chop an onion like a pro,TCT-ColBERTv2
query-28,fix a stuck zipper,TCT-ColBERTv2
query-37,how to run  marathon,TCT-ColBERTv2
query-42,learn a chess opening,TCT-ColBERTv2
query-44,how to iron a suit,TCT-ColBERTv2
query-47,how to install a sprinkler system,TCT-ColBERTv2
query-5,help me paint an interior wall,TCT-ColBERTv2
query-51,how to replace a toilet seat,TCT-ColBERTv2
query-61,how to make a coaster,TCT-ColBERTv2
query-63,how to set up a tent,TCT-ColBERTv2
query-64,how to knit mittens,TCT-ColBERTv2
query-66,how to make stickers,TCT-ColBERTv2
query-70,how to build a dog house,TCT-ColBERTv2
query-72,how to clean the windows,TCT-ColBERTv2
query-77,how to wash a newborn baby,TCT-ColBERTv2
query-78,how to train a dog to behave outside,TCT-ColBERTv2
query-79,how to clean garden tools,TCT-ColBERTv2
query-80,how to make a professional book cover,TCT-ColBERTv2
query-9,how can I screw in a nail,TCT-ColBERTv2
query-92,how to start a grill,TCT-ColBERTv2
query-93,how to motivate my child,TCT-ColBERTv2
query-96,how to fix a door handle,TCT-ColBERTv2
query-97,how to make kitchen curtains,TCT-ColBERTv2
