qid,run,docid,relevance,query_raw,doc_title,doc_url
query-0,Q0,diy+wikihow-offline+3ce4a420956de05cdcd0a9a2665547a9,0,how to choose a good hairstyle for men,How to Wear Your Hair with a Hat,https://www.wikihow.com/Wear-Your-Hair-with-a-Hat
query-0,Q0,diy+wikihow-offline+3f71ddadb430748e08172cb66f4acdab,0,how to choose a good hairstyle for men,How to Get the Cute Hobo Look,https://www.wikihow.com/Get-the-Cute-Hobo-Look
query-0,Q0,diy+wikihow-offline+439869ee43855e10385f6b50a332da5f,0,how to choose a good hairstyle for men,How to Style a Bob,https://www.wikihow.com/Style-a-Bob
query-0,Q0,diy+wikihow-offline+4e3c05e275eed0c1b2572ac770139c52,2,how to choose a good hairstyle for men,How to Do a Man Bun,https://www.wikihow.com/Do-a-Man-Bun
query-0,Q0,diy+wikihow-offline+54aa07d947698bb37f2589687fbdd9b5,1,how to choose a good hairstyle for men,How to Thicken Men's Hair Naturally,https://www.wikihow.com/Thicken-Men%27s-Hair-Naturally
query-0,Q0,diy+wikihow-offline+5d6ee8306381ee30ae96efa705d5b89b,1,how to choose a good hairstyle for men,How to Style Your Hair for School,https://www.wikihow.com/Style-Your-Hair-for-School
query-0,Q0,diy+wikihow-offline+605e4eff2aeba22e0cfab6d8863bb5a8,0,how to choose a good hairstyle for men,How to Style Sunglasses for Men,https://www.wikihow.com/Style-Sunglasses-for-Men
query-0,Q0,diy+wikihow-offline+6e4c7175932fea6b8b2992e99fb2c95b,1,how to choose a good hairstyle for men,How to Cut Your Own Hair (Men),https://www.wikihow.com/Cut-Your-Own-Hair-(Men)
query-0,Q0,diy+wikihow-offline+72327fbf5127078477a631a8068becfe,1,how to choose a good hairstyle for men,How to Create a Good Hair Care Routine (for Men),https://www.wikihow.com/Create-a-Good-Hair-Care-Routine-(for-Men)
query-0,Q0,diy+wikihow-offline+7bdd6e49ff18adce5c086f80b967a129,1,how to choose a good hairstyle for men,How to Style an Afro,https://www.wikihow.com/Style-an-Afro
query-0,Q0,diy+wikihow-offline+8340a0490fff84c1e18c76e49138bd48,0,how to choose a good hairstyle for men,How to Look Handsome (Boys),https://www.wikihow.com/Look-Handsome-(Boys)
query-0,Q0,diy+wikihow-offline+8bafeb1e6efa638fbdae844b5bfdc448,0,how to choose a good hairstyle for men,How to Look Younger (for Men),https://www.wikihow.com/Look-Younger-(for-Men)
query-0,Q0,diy+wikihow-offline+985f9a286115c223d72b0898624d04eb,0,how to choose a good hairstyle for men,How to Wear a Visor,https://www.wikihow.com/Wear-a-Visor
query-0,Q0,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5,2,how to choose a good hairstyle for men,How to Style Your Hair (Male),https://www.wikihow.com/Style-Your-Hair-(Male)
query-0,Q0,diy+wikihow-offline+afa5dd98f724b8fde90ba9cf3485654a,2,how to choose a good hairstyle for men,How to Choose a Hairstyle,https://www.wikihow.com/Choose-a-Hairstyle
query-0,Q0,diy+wikihow-offline+b39a839495f8b7db8a4990bc97dbf1f9,0,how to choose a good hairstyle for men,How to Find Clothing As a Cross Dressing Man,https://www.wikihow.com/Find-Clothing-As-a-Cross-Dressing-Man
query-0,Q0,diy+wikihow-offline+bb2711afafbcfbd5062c67746e6b7a40,0,how to choose a good hairstyle for men,How to Convince a Very Hairy Man to Shave His Chest,https://www.wikihow.com/Convince-a-Very-Hairy-Man-to-Shave-His-Chest
query-0,Q0,diy+wikihow-offline+c1ed2d56e686f5be6eec3a02b136e93a,2,how to choose a good hairstyle for men,How to Style Curly Hair (for Men),https://www.wikihow.com/Style-Curly-Hair-(for-Men)
query-0,Q0,diy+wikihow-offline+d0b81ca8f0a37214ff383624c2eef76d,0,how to choose a good hairstyle for men,How to Find a Modern Day Mr. Darcy,https://www.wikihow.com/Find-a-Modern-Day-Mr.-Darcy
query-0,Q0,diy+wikihow-offline+d2886abaad547c2835306a712737978f,0,how to choose a good hairstyle for men,How to Grow an Afro with African American Hair,https://www.wikihow.com/Grow-an-Afro-with-African-American-Hair
query-0,Q0,diy+wikihow-offline+d2b33aa50672645dbe2f2f779ff0f47d,0,how to choose a good hairstyle for men,How to Wear Wellies,https://www.wikihow.com/Wear-Wellies
query-0,Q0,diy+wikihow-offline+d3de2d92357af108dc0c11a6c94443da,1,how to choose a good hairstyle for men,How to Get Curly Hair (Men),https://www.wikihow.com/Get-Curly-Hair-(Men)
query-0,Q0,diy+wikihow-offline+d5d393f136497aa9fa3f13cb7ba3253f,1,how to choose a good hairstyle for men,How to Get Surfer Hair (for Guys),https://www.wikihow.com/Get-Surfer-Hair-(for-Guys)
query-0,Q0,diy+wikihow-offline+dc8dd5f75c0e2939769bd2defbdf0570,2,how to choose a good hairstyle for men,How to Style Medium Length Hair for Men,https://www.wikihow.com/Style-Medium-Length-Hair-for-Men
query-0,Q0,diy+wikihow-offline+e4a70d1682eb415a772637eb92b6931b,2,how to choose a good hairstyle for men,How to Comb Your Hair (Men),https://www.wikihow.com/Comb-Your-Hair-(Men)
query-0,Q0,diy+wikihow-offline+eb25958ae65699ae15216bb4daf53349,0,how to choose a good hairstyle for men,How to Understand the Male Ego,https://www.wikihow.com/Understand-the-Male-Ego
query-0,Q0,diy+wikihow-offline+eba11d31a6f6282792939e00a8fc9edc,1,how to choose a good hairstyle for men,How to Grow Long Hair As a Guy,https://www.wikihow.com/Grow-Long-Hair-As-a-Guy
query-0,Q0,diy+wikihow-offline+ed7f1a8e94119c41502657df873739ec,0,how to choose a good hairstyle for men,How to Cosplay Zoey Stevens from the Movie Zapped,https://www.wikihow.com/Cosplay-Zoey-Stevens-from-the-Movie-Zapped
query-0,Q0,diy+wikihow-offline+edb5ade90b347f29732b58e2d1971761,0,how to choose a good hairstyle for men,How to Pack a Pencil Case for School,https://www.wikihow.com/Pack-a-Pencil-Case-for-School
query-0,Q0,diy+wikihow-offline+eef2d5c1e83c09dc3b6da8c861b9d56e,0,how to choose a good hairstyle for men,"How to Get Long, Beautiful Straight Hair","https://www.wikihow.com/Get-Long,-Beautiful-Straight-Hair"
query-0,Q0,diy+wikihow-offline+ef3f40674454b6d49a71c6c1f76f06dc,0,how to choose a good hairstyle for men,How to Decide Whether to Get a Second Dog,https://www.wikihow.com/Decide-Whether-to-Get-a-Second-Dog
query-0,Q0,diy+wikihow-offline+f049f52600652149b499d8694f38e09d,1,how to choose a good hairstyle for men,How to Choose a Haircut for Guys with Thinning Hair,https://www.wikihow.com/Choose-a-Haircut-for-Guys-with-Thinning-Hair
query-0,Q0,diy+wikihow-offline+fa7125d89c7c09b2706ab06bf1683ff6,0,how to choose a good hairstyle for men,How to Have a Nice Signature,https://www.wikihow.com/Have-a-Nice-Signature
query-0,Q0,diy+wikihow-offline+fbce3cc5f99df75f3c40360b4c03b628,0,how to choose a good hairstyle for men,How to Achieve Gorgeous Looking Hair With Healthy Eating,https://www.wikihow.com/Achieve-Gorgeous-Looking-Hair-With-Healthy-Eating
query-1,Q0,diy+wikihow-offline+029dbc592078c641ca7779cf587d4665,2,how to learn a new language,How to Teach Yourself a Language Using Flashcards,https://www.wikihow.com/Teach-Yourself-a-Language-Using-Flashcards
query-1,Q0,diy+wikihow-offline+04fa4bc82e822b12acb8682f542e5060,1,how to learn a new language,How to Learn Several Languages at a Time,https://www.wikihow.com/Learn-Several-Languages-at-a-Time
query-1,Q0,diy+wikihow-offline+0871f92d6d72a6e488799788cf550f43,2,how to learn a new language,How to Teach Yourself a New Language,https://www.wikihow.com/Teach-Yourself-a-New-Language
query-1,Q0,diy+wikihow-offline+090da0649110e7249d12fab1fac2bf44,0,how to learn a new language,How to Become Skilled at Learning Programming Languages,https://www.wikihow.com/Become-Skilled-at-Learning-Programming-Languages
query-1,Q0,diy+wikihow-offline+0b540016a91a917016706537e326dc31,2,how to learn a new language,How to Learn a New Language Fast,https://www.wikihow.com/Learn-a-New-Language-Fast
query-1,Q0,diy+wikihow-offline+0fd10d0016fe5d359e3594cc1c13bacc,0,how to learn a new language,How to Learn Emotions from Dr. Shrunk in Animal Crossing: New Leaf,https://www.wikihow.com/Learn-Emotions-from-Dr.-Shrunk-in-Animal-Crossing:-New-Leaf
query-1,Q0,diy+wikihow-offline+234db3789106e6c56d9d66453108450a,0,how to learn a new language,How to Get Started Using LaTeX,https://www.wikihow.com/Get-Started-Using-LaTeX
query-1,Q0,diy+wikihow-offline+29d452c14e1c1d950d0fa9e7ceac9ec5,1,how to learn a new language,How to Learn Hiragana,https://www.wikihow.com/Learn-Hiragana
query-1,Q0,diy+wikihow-offline+2ad58af28da49208a72657c240f5c0a9,0,how to learn a new language,How to Cook Lugaw,https://www.wikihow.com/Cook-Lugaw
query-1,Q0,diy+wikihow-offline+2e1e16b3c12a556c91b0a30e70d09414,0,how to learn a new language,How to Celebrate Te Wiki o te Reo Māori (Māori Language Week),https://www.wikihow.com/Celebrate-Te-Wiki-o-te-Reo-M%C4%81ori-(M%C4%81ori-Language-Week)
query-1,Q0,diy+wikihow-offline+2efce44fee96ab0de249783cebbfb9e2,2,how to learn a new language,How to Become a Polyglot,https://www.wikihow.com/Become-a-Polyglot
query-1,Q0,diy+wikihow-offline+3852904e704f1ed9d0fa37790e227a35,1,how to learn a new language,How to Learn a Language by Listening to the Radio,https://www.wikihow.com/Learn-a-Language-by-Listening-to-the-Radio
query-1,Q0,diy+wikihow-offline+3fde5863aeb81d5e1cdacb25eb6c4808,1,how to learn a new language,How to Speak English,https://www.wikihow.com/Speak-English
query-1,Q0,diy+wikihow-offline+43675132dd20015620575452c191cb53,2,how to learn a new language,How to Learn a Language Inexpensively,https://www.wikihow.com/Learn-a-Language-Inexpensively
query-1,Q0,diy+wikihow-offline+4604690226368a3bfa5b4366e10bca4d,0,how to learn a new language,How to Start Learning Computer Programming,https://www.wikihow.com/Start-Learning-Computer-Programming
query-1,Q0,diy+wikihow-offline+48dbd2c56083f5623183d30accd20497,0,how to learn a new language,How to Learn New Things,https://www.wikihow.com/Learn-New-Things
query-1,Q0,diy+wikihow-offline+4af5e09b05379c8f769db3d30078c712,1,how to learn a new language,How to Read French,https://www.wikihow.com/Read-French
query-1,Q0,diy+wikihow-offline+57eee62f203ddfb1416c1a78420bdd96,0,how to learn a new language,How to Learn Something New Every Day,https://www.wikihow.com/Learn-Something-New-Every-Day
query-1,Q0,diy+wikihow-offline+599631526440018234283d1dcb43f7e2,0,how to learn a new language,How to Learn About Other Cultures,https://www.wikihow.com/Learn-About-Other-Cultures
query-1,Q0,diy+wikihow-offline+5a0921c9b1d1ab1cfbd3f351f2166fe6,1,how to learn a new language,How to Learn Zulu,https://www.wikihow.com/Learn-Zulu
query-1,Q0,diy+wikihow-offline+5be47a37215229fc1a5256385ca19692,2,how to learn a new language,How to Speak a Language With the Native Accent,https://www.wikihow.com/Speak-a-Language-With-the-Native-Accent
query-1,Q0,diy+wikihow-offline+5c806b1d16a8a2a9d73c9c7491f9165a,2,how to learn a new language,How to Learn a Language,https://www.wikihow.com/Learn-a-Language
query-1,Q0,diy+wikihow-offline+64a271b301eb5b594e31be1e0fb72f11,2,how to learn a new language,How to Learn a Language with Immersion and Formal Study,https://www.wikihow.com/Learn-a-Language-with-Immersion-and-Formal-Study
query-1,Q0,diy+wikihow-offline+82ed6dadb36b3a46b8d8de15f491cf0c,1,how to learn a new language,How to Use Duolingo,https://www.wikihow.com/Use-Duolingo
query-1,Q0,diy+wikihow-offline+85dd5236f15305a185915dd7f681f5e7,1,how to learn a new language,How to Learn a Language Fluently when You Live in a New Country,https://www.wikihow.com/Learn-a-Language-Fluently-when-You-Live-in-a-New-Country
query-1,Q0,diy+wikihow-offline+86af018c396eec55d73370230fddd8ec,0,how to learn a new language,How to Paraglide,https://www.wikihow.com/Paraglide
query-1,Q0,diy+wikihow-offline+9001563355325148cf47677a064815f9,1,how to learn a new language,How to Study a Foreign Language in School,https://www.wikihow.com/Study-a-Foreign-Language-in-School
query-1,Q0,diy+wikihow-offline+9580229d40b681bae16b58aa11eb0940,1,how to learn a new language,How to Learn Basic Language Vocabulary with Google Translate,https://www.wikihow.com/Learn-Basic-Language-Vocabulary-with-Google-Translate
query-1,Q0,diy+wikihow-offline+ad4d03d285281d4028a3459df722efa8,0,how to learn a new language,How to Date Across a Language Barrier,https://www.wikihow.com/Date-Across-a-Language-Barrier
query-1,Q0,diy+wikihow-offline+b53ce43ddce253e4b8e0fc59ff1fdd75,1,how to learn a new language,How to Develop Fluency in English,https://www.wikihow.com/Develop-Fluency-in-English
query-1,Q0,diy+wikihow-offline+bd905ad0a59c5733366678ba4d71655c,0,how to learn a new language,How to Create a Flickr Group,https://www.wikihow.com/Create-a-Flickr-Group
query-1,Q0,diy+wikihow-offline+c02e62cad600c58b5fb21e07e1fb7092,1,how to learn a new language,How to Learn Kannada,https://www.wikihow.com/Learn-Kannada
query-1,Q0,diy+wikihow-offline+c1a9730343aacf8decc9fcf8c6e7c99b,0,how to learn a new language,How to Do Something New,https://www.wikihow.com/Do-Something-New
query-1,Q0,diy+wikihow-offline+c2a681d190d53fbbd5f8b1e520ecdde4,1,how to learn a new language,How to Learn Telugu,https://www.wikihow.com/Learn-Telugu
query-1,Q0,diy+wikihow-offline+c498ac0e2e5e1e177978d3823434660e,0,how to learn a new language,How to Test Network and Internet Latency (Lag) in Microsoft Windows,https://www.wikihow.com/Test-Network-and-Internet-Latency-(Lag)-in-Microsoft-Windows
query-1,Q0,diy+wikihow-offline+c906d9ce89bd0469c0da63d901505969,0,how to learn a new language,How to Try Something New,https://www.wikihow.com/Try-Something-New
query-1,Q0,diy+wikihow-offline+d39849e6d3402ced8d0df7464ca3c693,1,how to learn a new language,How to Learn Japanese on Your Own,https://www.wikihow.com/Learn-Japanese-on-Your-Own
query-1,Q0,diy+wikihow-offline+d61ce2a9d7d1385d31503b5fbabbae9d,0,how to learn a new language,How to Learn Japanese Using Duolingo,https://www.wikihow.com/Learn-Japanese-Using-Duolingo
query-1,Q0,diy+wikihow-offline+dc679c911c37823811c60cbca215528c,1,how to learn a new language,How to Teach Yourself German,https://www.wikihow.com/Teach-Yourself-German
query-1,Q0,diy+wikihow-offline+de80abaf15a26931db43b9d5cceffc57,0,how to learn a new language,How to Acquire New Skills,https://www.wikihow.com/Acquire-New-Skills
query-1,Q0,diy+wikihow-offline+dfd0e33c6d61df25f50c13e0649d9d4d,1,how to learn a new language,How to Learn a Foreign Language with Songs,https://www.wikihow.com/Learn-a-Foreign-Language-with-Songs
query-1,Q0,diy+wikihow-offline+f636091e585dcef1a460ca56c0d58d9a,1,how to learn a new language,How to Learn to Speak Latin,https://www.wikihow.com/Learn-to-Speak-Latin
query-1,Q0,diy+wikihow-offline+f930e5e151da7df1b15c7ef1e962718a,0,how to learn a new language,How to Stag Leap,https://www.wikihow.com/Stag-Leap
query-1,Q0,diy+wikihow-offline+fcee36719b87b8d3c037cc01af53aa0a,1,how to learn a new language,How to Become More Fluent in English (Simple),https://www.wikihow.com/Become-More-Fluent-in-English-(Simple)
query-10,Q0,diy+wikihow-offline+02f5e9999c8cc11d28032d7f0acbbc9e,0,how to style curly hair,How to Make a Thor Costume,https://www.wikihow.com/Make-a-Thor-Costume
query-10,Q0,diy+wikihow-offline+0a7affccef9fcac23ad0e8e042adc522,2,how to style curly hair,How to Style Curly Hair in 20 Minutes or Less,https://www.wikihow.com/Style-Curly-Hair-in-20-Minutes-or-Less
query-10,Q0,diy+wikihow-offline+0b41a15840d7229dff05c1de8a8781d2,0,how to style curly hair,How to Be Well Groomed,https://www.wikihow.com/Be-Well-Groomed
query-10,Q0,diy+wikihow-offline+0bca2dea9a89d85b26b86151f9000297,0,how to style curly hair,How to Dress Classy on a Tight Budget,https://www.wikihow.com/Dress-Classy-on-a-Tight-Budget
query-10,Q0,diy+wikihow-offline+145e86591e273a3524515f2e0c2c8abd,1,how to style curly hair,How to Make Black Hair Curly,https://www.wikihow.com/Make-Black-Hair-Curly
query-10,Q0,diy+wikihow-offline+16c7495a5d406e16deacb9edd57ab179,2,how to style curly hair,How to Do Hairstyles for Curly Hair,https://www.wikihow.com/Do-Hairstyles-for-Curly-Hair
query-10,Q0,diy+wikihow-offline+27544915d22318878f14fff926fa8549,2,how to style curly hair,How to Style Curly Hair,https://www.wikihow.com/Style-Curly-Hair
query-10,Q0,diy+wikihow-offline+2d3cbd125ad7f5fcd132d1f0f51f921e,2,how to style curly hair,How to Curl Fine Straight Hair,https://www.wikihow.com/Curl-Fine-Straight-Hair
query-10,Q0,diy+wikihow-offline+3e9a093fb2840408e6271e85cfb7e7f3,2,how to style curly hair,How to Style Very Short Curly Hair,https://www.wikihow.com/Style-Very-Short-Curly-Hair
query-10,Q0,diy+wikihow-offline+3eaa9d4fd5e4c999ca823f1660d00fb9,1,how to style curly hair,How to Style Your Hair Like Kesha's Bedhead Curls,https://www.wikihow.com/Style-Your-Hair-Like-Kesha%27s-Bedhead-Curls
query-10,Q0,diy+wikihow-offline+454626d7992d298adf51282d0530569d,0,how to style curly hair,How to Style Air Dried Hair,https://www.wikihow.com/Style-Air-Dried-Hair
query-10,Q0,diy+wikihow-offline+47edac9f51364df98978d8d0e7743271,0,how to style curly hair,How to Style Long Hair for Guys,https://www.wikihow.com/Style-Long-Hair-for-Guys
query-10,Q0,diy+wikihow-offline+4a018e0f702df2375ea89442632ba26d,1,how to style curly hair,How to Braid Curly Hair,https://www.wikihow.com/Braid-Curly-Hair
query-10,Q0,diy+wikihow-offline+4a08831293e8883b0b29e281001d540e,0,how to style curly hair,How to Do a Caesar Haircut,https://www.wikihow.com/Do-a-Caesar-Haircut
query-10,Q0,diy+wikihow-offline+4d410e3166b4366ec5fd9d6b933dc76a,0,how to style curly hair,How to Do Hair Styles With a Bump,https://www.wikihow.com/Do-Hair-Styles-With-a-Bump
query-10,Q0,diy+wikihow-offline+4f2b4717d4c8104768daf719cacb1d42,2,how to style curly hair,How to Wet Set Hair Rollers,https://www.wikihow.com/Wet-Set-Hair-Rollers
query-10,Q0,diy+wikihow-offline+4f50663c63baef4b812155a15048500e,0,how to style curly hair,How to Dress for a Hollywood Film Audition,https://www.wikihow.com/Dress-for-a-Hollywood-Film-Audition
query-10,Q0,diy+wikihow-offline+534417012a7037f48d4a0db5edbdac8b,2,how to style curly hair,"How to Get Big, Bouncy Curls","https://www.wikihow.com/Get-Big,-Bouncy-Curls"
query-10,Q0,diy+wikihow-offline+5492354fa63ae56cfdb6f0ad9ba7ba45,1,how to style curly hair,How to Tighten Curls,https://www.wikihow.com/Tighten-Curls
query-10,Q0,diy+wikihow-offline+5f52886caa0f84fb7c8fb5039c29b4e3,0,how to style curly hair,How to Draw Curly Hair,https://www.wikihow.com/Draw-Curly-Hair
query-10,Q0,diy+wikihow-offline+61dcc4ea73f2c0e46b083c5425b2f796,0,how to style curly hair,How to Cope when You Hate Your Hair,https://www.wikihow.com/Cope-when-You-Hate-Your-Hair
query-10,Q0,diy+wikihow-offline+67d02cb833139e088dda106b779da581,0,how to style curly hair,How to Use Cucumbers in Your Beauty Routine,https://www.wikihow.com/Use-Cucumbers-in-Your-Beauty-Routine
query-10,Q0,diy+wikihow-offline+67e026f875d7e424545b14ceaceac2a2,0,how to style curly hair,How to Make Frizzy or Curly Hair Into Straight Hair,https://www.wikihow.com/Make-Frizzy-or-Curly-Hair-Into-Straight-Hair
query-10,Q0,diy+wikihow-offline+6a9f1d9cc1bda903dbafaa2f37ead235,0,how to style curly hair,How to Do a Chignon Hair Style,https://www.wikihow.com/Do-a-Chignon-Hair-Style
query-10,Q0,diy+wikihow-offline+6c45ed6a1eb191411e73efa3d827e232,0,how to style curly hair,How to Cut Bangs for Men,https://www.wikihow.com/Cut-Bangs-for-Men
query-10,Q0,diy+wikihow-offline+6d309b3343997943a34af5f9b3f78d05,2,how to style curly hair,How to Style Naturally Curly Hair,https://www.wikihow.com/Style-Naturally-Curly-Hair
query-10,Q0,diy+wikihow-offline+6e4ffd60028d4507794bebd515b95d3d,0,how to style curly hair,How to Temporarily Colour Your Hair Purple at Minimal Cost,https://www.wikihow.com/Temporarily-Colour-Your-Hair-Purple-at-Minimal-Cost
query-10,Q0,diy+wikihow-offline+717385110939bb4835a6d4b5d51a1a26,2,how to style curly hair,How to Curl Short Hair,https://www.wikihow.com/Curl-Short-Hair
query-10,Q0,diy+wikihow-offline+71db6d8047659f9d97e75bdc29d7eb57,2,how to style curly hair,How to Curl Hair Without Hairspray,https://www.wikihow.com/Curl-Hair-Without-Hairspray
query-10,Q0,diy+wikihow-offline+73a3489c4f90a5dbf79e02b799701a6e,2,how to style curly hair,How to Curl Hair by Twisting It,https://www.wikihow.com/Curl-Hair-by-Twisting-It
query-10,Q0,diy+wikihow-offline+764c72f26604c71420bbb41495f0a86c,1,how to style curly hair,How to Style Permed Short Hair,https://www.wikihow.com/Style-Permed-Short-Hair
query-10,Q0,diy+wikihow-offline+80f3c02f563aa6f4b866d2cadde54680,0,how to style curly hair,How to Cut Curly Hair in Layers,https://www.wikihow.com/Cut-Curly-Hair-in-Layers
query-10,Q0,diy+wikihow-offline+844ed80d90a8c75545b6db846d00ff69,2,how to style curly hair,How to Make Curly Hair Beautiful and Frizz Free,https://www.wikihow.com/Make-Curly-Hair-Beautiful-and-Frizz-Free
query-10,Q0,diy+wikihow-offline+8549dae094070f564dfdb364fac3082e,1,how to style curly hair,How to Take Care of Natural Hair,https://www.wikihow.com/Take-Care-of-Natural-Hair
query-10,Q0,diy+wikihow-offline+8b6700e32825a90b11b504b835378c22,2,how to style curly hair,How to Use Bendy Rollers,https://www.wikihow.com/Use-Bendy-Rollers
query-10,Q0,diy+wikihow-offline+9196cd807ce18faa5e7037166fa1c5d3,1,how to style curly hair,How to Get Waves in Short Hair,https://www.wikihow.com/Get-Waves-in-Short-Hair
query-10,Q0,diy+wikihow-offline+966b00864a6954551cad61e98431d58c,0,how to style curly hair,How to Be a Fabulous Diva,https://www.wikihow.com/Be-a-Fabulous-Diva
query-10,Q0,diy+wikihow-offline+9f9a017541ada790d6ecece36430bcd2,1,how to style curly hair,How to Curl Long Hair with a Curling Iron,https://www.wikihow.com/Curl-Long-Hair-with-a-Curling-Iron
query-10,Q0,diy+wikihow-offline+a6ae34778a6591645add3f61fa3a8ba5,0,how to style curly hair,How to Style Your Hair (Male),https://www.wikihow.com/Style-Your-Hair-(Male)
query-10,Q0,diy+wikihow-offline+b45efb21888102feef6afef7b0aedc11,0,how to style curly hair,How to Get a More Curvy Appearance (Skinny Girls),https://www.wikihow.com/Get-a-More-Curvy-Appearance-(Skinny-Girls)
query-10,Q0,diy+wikihow-offline+bec89b5516f3bfb555bc8f6f7d484fd3,0,how to style curly hair,How to Grow Relaxed Hair,https://www.wikihow.com/Grow-Relaxed-Hair
query-10,Q0,diy+wikihow-offline+c11b758dfdcfc8410cda0d6260dac8f5,2,how to style curly hair,How to Create Pin Curls,https://www.wikihow.com/Create-Pin-Curls
query-10,Q0,diy+wikihow-offline+c1ed2d56e686f5be6eec3a02b136e93a,2,how to style curly hair,How to Style Curly Hair (for Men),https://www.wikihow.com/Style-Curly-Hair-(for-Men)
query-10,Q0,diy+wikihow-offline+c4f460b1468d71b37889ad63bf03b8d1,0,how to style curly hair,How to Do Your Hair Like Hermione Granger,https://www.wikihow.com/Do-Your-Hair-Like-Hermione-Granger
query-10,Q0,diy+wikihow-offline+c535ec34925b01cf962de0abdf02233a,1,how to style curly hair,How to Style Wavy Hair,https://www.wikihow.com/Style-Wavy-Hair
query-10,Q0,diy+wikihow-offline+c5d8b69c3882460ced4042b560f7afae,1,how to style curly hair,How to Make Your Hair Look Naturally Curly,https://www.wikihow.com/Make-Your-Hair-Look-Naturally-Curly
query-10,Q0,diy+wikihow-offline+c65d87b35c346063a682bdd79dcf1f36,0,how to style curly hair,How to Style Short Hair,https://www.wikihow.com/Style-Short-Hair
query-10,Q0,diy+wikihow-offline+cb7ff716064958e4533be622a5d886bf,2,how to style curly hair,How to Set Hair,https://www.wikihow.com/Set-Hair
query-10,Q0,diy+wikihow-offline+d1958957045e06f3d941a929dbed5f5b,1,how to style curly hair,How to Make Naturally Straight Hair Curly,https://www.wikihow.com/Make-Naturally-Straight-Hair-Curly
query-10,Q0,diy+wikihow-offline+d3de2d92357af108dc0c11a6c94443da,0,how to style curly hair,How to Get Curly Hair (Men),https://www.wikihow.com/Get-Curly-Hair-(Men)
query-10,Q0,diy+wikihow-offline+dacb8e1949546511bae4a01c6b42dc03,0,how to style curly hair,How to Style Your Hair,https://www.wikihow.com/Style-Your-Hair
query-10,Q0,diy+wikihow-offline+dc8dd5f75c0e2939769bd2defbdf0570,0,how to style curly hair,How to Style Medium Length Hair for Men,https://www.wikihow.com/Style-Medium-Length-Hair-for-Men
