raw query,target query,domain,knowledge,reasoning
pearl barly casserole,pearl barly casserole,cooking,,
turkish chicken shish kebab," turkish chicken shish kebab",cooking,,
apple sandwiches with almond butter and granola,apple sandwiches with almond butter and granola,cooking,,
cauliflower soup with cheese,cauliflower soup with cheese,cooking,,
borscht with cabbage,borscht with cabbage,cooking,,
cottage cheese dumplings with bacon,cottage cheese dumplings with bacon,cooking,,
asparagus soup with poached egg,asparagus soup with poached egg,cooking,,
thai red curry butternut squash soup,Thai red curry butternut squash soup,cooking,,
pierogi with onions,pierogi with onions,cooking,,
garlic roast potatoes with bay leaves,garlic roast potatoes with bay leaves,cooking,,
chocolate mousse with truffles,chocolate mousse with truffles,cooking,,
I would like some chai latte,chai latte,cooking,,
vegetarian stuffed mushrooms,vegetarian stuffed mushrooms,cooking,,
vegetable pakora with mint chutney,vegetable pakora with mint chutney,cooking,,
tiramisu doughnuts,tiramisu doughnuts,cooking,,
I want to make creamy jalapeno dip,creamy jalapeno dip,cooking,,
cilantro yougurt chutney,cilantro yougurt chutney,cooking,,
cookie dough pizza,cookie dough pizza,cooking,,
chilli chocolate cookies,chilli chocolate cookies,cooking,,
lemon garlic salmon,lemon garlic salmon,cooking,,
halibut tacos,halibut tacos,cooking,,
johnny marzetti,johnny marzetti,cooking,,
yakamein noodle soup,yakamein noodle soup,cooking,,
watermelon agua fresca,watermelon agua fresca,cooking,,
cheesecake milkshake,cheesecake milkshake,cooking,,
a smoothie with pinapple and cucumber,pinapple and cucumber smoothie,cooking,,
blueberry nut smoothie,blueberry nut smoothie,cooking,,
chocolate protein smoothie,chocolate protein smoothie,cooking,,
chinese steamed cod fish,chinese steamed cod fish,cooking,,
creamy zucchini lasagne,creamy zucchini lasagne,cooking,,
herb crusted lamb rack,herb crusted lamb rack,cooking,,
egg free chicken nuggets,egg free chicken nuggets,cooking,,
cheese and onion rolls,cheese and onion rolls,cooking,,
garlic bread pizza,garlic bread pizza,cooking,,
honey smoked salmon,honey smoked salmon,cooking,,
baked lobster mac and cheese,baked lobster mac and cheese,cooking,,
potato and chorizo stew,potato and chorizo stew,cooking,,
spanish wrinkled potatoes,spanish wrinkled potatoes,cooking,,
french fries with cheese,french fries with cheese,cooking,,
louisiana seafood gumbo,louisiana seafood gumbo,cooking,,
fried yellow tomatoes,fried yellow tomatoes,cooking,,
tuna quinoa salad,tuna quinoa salad,cooking,,
poached eggs with avocado and salmon,poached eggs with avocado and salmon,cooking,,
scallion noodles,scallion noodles,cooking,,
vegan mango yogurt,vegan mango yogurt,cooking,,
vegetable thai green curry,vegetable thai green curry,cooking,,
baked butternut squash,baked butternut squash,cooking,,
hash browns,hash browns,cooking,,
spinach and pesto soup,spinach and pesto soup,cooking,,
