qid,run,docid,relevance,query_raw,doc_title,doc_url
query-0,Q0,cooking+recipe1m+4171f386c3a6574ef242e97d5ad590ab,2,how to spatchcock a turkey,Canadian Maple Roast Turkey & Gravy,https://recipeland.com/recipe/v/canadian-maple-roast-turkey-amp-51025
query-0,Q0,cooking+recipe1m+423bf8c7536d2b67f5e296e822cbd19a,1,how to spatchcock a turkey,Lightened up Turkey Tater Tot Casserole,http://www.food.com/recipe/lightened-up-turkey-tater-tot-casserole-463579
query-0,Q0,cooking+recipe1m+4600f08ea97d0c1d77c1028c9c4184ed,0,how to spatchcock a turkey,Roasted Spatchcocked Chicken,https://cookpad.com/us/recipes/359735-roasted-spatchcocked-chicken
query-0,Q0,cooking+recipe1m+4967e8561c0762b1950299349a2bcf90,0,how to spatchcock a turkey,Spatchcocks With a Herb Butter and Sage and Bacon Sauce,http://www.food.com/recipe/spatchcocks-with-a-herb-butter-and-sage-and-bacon-sauce-271632
query-0,Q0,cooking+recipe1m+4c7dd44781c0d119556a3f6052a7d09d,1,how to spatchcock a turkey,Herb-Roasted Turkey with Wild Mushroom Gravy,http://www.foodandwine.com/recipes/herb-roasted-turkey-wild-mushroom-gravy
query-0,Q0,cooking+recipe1m+5422dea2ee81810db29417bcf3e1a006,1,how to spatchcock a turkey,"Roast Turkey (a.k.a. ""the Bird"")",http://www.food.com/recipe/roast-turkey-a-k-a-the-bird-104824
query-0,Q0,cooking+recipe1m+551191c294f40cf728e8489dd04f7095,1,how to spatchcock a turkey,Lemon-Honey Grilled Chicken,http://www.kraftrecipes.com/recipes/lemon-honey-grilled-chicken-162716.aspx
query-0,Q0,cooking+recipe1m+57942f335e498e3c52af07f4d53b81a8,1,how to spatchcock a turkey,Split Roast Turkey,http://cooking.nytimes.com/recipes/12951
query-0,Q0,cooking+recipe1m+5ded23699707b14bd3b1391263399acc,0,how to spatchcock a turkey,Ww 4 Points - Cornish Game Hens With Sweet and Fruity Glaze,http://www.food.com/recipe/ww-4-points-cornish-game-hens-with-sweet-and-fruity-glaze-127171
query-0,Q0,cooking+recipe1m+65bd43869e7e631405d360560f67cebf,1,how to spatchcock a turkey,"Roast Basil Chicken, Basil Baby Potatoes, Frisee Plum Salad",http://www.foodnetwork.com/recipes/food-network-kitchens/roast-basil-chicken-basil-baby-potatoes-frisee-plum-salad.html
query-0,Q0,cooking+recipe1m+748a7547c9145be5c42a2030ccb82c1f,1,how to spatchcock a turkey,Spatchcocked Birds,http://www.foodnetwork.com/recipes/nigella-lawson/spatchcocked-birds-recipe.html
query-0,Q0,cooking+recipe1m+748d75a07f63bef1d6c09611528418f2,0,how to spatchcock a turkey,Turkey Galantine,http://www.epicurious.com/recipes/food/views/turkey-galantine-20137
query-0,Q0,cooking+recipe1m+75c278f042a8e465c18b69e649ae4f03,0,how to spatchcock a turkey,Edith's Stuffing,http://allrecipes.com/recipe/ediths-stuffing/
query-0,Q0,cooking+recipe1m+7911712a5ebcb2108f7ef937b822fd29,1,how to spatchcock a turkey,Roasted Turkey with Tangerine Glaze,http://www.foodandwine.com/recipes/roasted-turkey-tangerine-glaze
query-0,Q0,cooking+recipe1m+8da474536359a5bd2b049e9f610b31a1,0,how to spatchcock a turkey,Spatchcocked Chicken with Jerk Seasoning Paste,http://tastykitchen.com/recipes/main-courses/spatchcocked-chicken-with-jerk-seasoning-paste/
query-0,Q0,cooking+recipe1m+910199113b221c1c289c80280bf696ee,0,how to spatchcock a turkey,How to Spatchcock a Chicken,http://www.food.com/recipe/how-to-spatchcock-a-chicken-187484
query-0,Q0,cooking+recipe1m+994505df2dd754dc64bea1efeddd0cf4,0,how to spatchcock a turkey,Saucy Turkey Chili Burger,http://www.epicurious.com/recipes/food/views/saucy-turkey-chili-burger-375440
query-0,Q0,cooking+recipe1m+9ad31bc1e9ec3ef1f305e21d22ab7063,0,how to spatchcock a turkey,Spatchcock Chicken,http://tastykitchen.com/recipes/main-courses/spatchcock-chicken/
query-0,Q0,cooking+recipe1m+9be7aff7fee235dfb0cea0ee2c9a21c0,0,how to spatchcock a turkey,Spatchcocked Deviled Chicken,http://www.food.com/recipe/spatchcocked-deviled-chicken-262076
query-0,Q0,cooking+recipe1m+9c06f2d329f108d357fdefb4a7720b69,2,how to spatchcock a turkey,Roast Turkey with Herb Gravy,http://www.foodnetwork.com/recipes/nancy-fuller/roast-turkey-with-herb-gravy.html
query-0,Q0,cooking+recipe1m+9c9b0ac601e1951214288bf7be185461,0,how to spatchcock a turkey,Spicy Roast Spatchcocks,http://www.food.com/recipe/spicy-roast-spatchcocks-341031
query-0,Q0,cooking+recipe1m+a7b83b09ec537e8b7d08d8394199b67e,2,how to spatchcock a turkey,Herb-Rubbed Turkey Smoked Indoors,http://cooking.nytimes.com/recipes/8247
query-0,Q0,cooking+recipe1m+aa169d78089d89274ec8510bb5a62f3d,0,how to spatchcock a turkey,Braised Spatchcocks With Spinach,http://www.food.com/recipe/braised-spatchcocks-with-spinach-336566
query-0,Q0,cooking+recipe1m+ab659f951c2ea23a4fa79cbe4a66b4d3,0,how to spatchcock a turkey,Oven-Roasted Spatchcock Chicken,http://www.kraftrecipes.com/recipes/oven-roasted-spatchcock-chicken-166475.aspx
query-0,Q0,cooking+recipe1m+b28a06daba651ea98a5425ec2dd94ba0,2,how to spatchcock a turkey,Spatchcocked Roast Turkey Recipe,http://www.chowhound.com/recipes/butterflied-roasted-turkey-with-butternut-squash-stuffing-30874
query-0,Q0,cooking+recipe1m+b84175b3768a6f22027d0f42a2c2cc11,0,how to spatchcock a turkey,Game Hens Under Bricks,http://www.cookstr.com/recipes/game-hens-under-bricks
query-0,Q0,cooking+recipe1m+bdf3613b1b8eb62e7e9db3efec7aa142,0,how to spatchcock a turkey,Spicy Spatchcock Chicken,http://www.kraftrecipes.com/recipes/spicy-spatchcock-chicken-182619.aspx
query-0,Q0,cooking+recipe1m+bee515c64003170411ed7ef8f050d897,1,how to spatchcock a turkey,Roast Turkey Breast with Gravy,http://www.foodnetwork.com/recipes/food-network-kitchens/roast-turkey-breast-with-gravy-recipe.html
query-0,Q0,cooking+recipe1m+c5249af2fc1f2ad713b1489fe1288fea,1,how to spatchcock a turkey,"Birds, Birds, Birds",http://www.food.com/recipe/birds-birds-birds-139688
query-0,Q0,cooking+recipe1m+d7fe8dcd532d83d5adc17ca21013f6e1,0,how to spatchcock a turkey,Oven-Roasted Spatchcock Chicken,http://www.kraftrecipes.com/recipes/oven-roasted-spatchcock-chicken-178154.aspx
query-0,Q0,cooking+recipe1m+e20bc2e412236adb7d74cec535e37943,0,how to spatchcock a turkey,Mini Black Jack Burgers,http://www.foodnetwork.com/recipes/patrick-and-gina-neely/mini-black-jack-burgers-recipe.html
query-0,Q0,cooking+recipe1m+e2f4049e0dde8f8462d4e12e83fe9349,2,how to spatchcock a turkey,Spatchcocked Turkey (Aka Butterflied),http://www.food.com/recipe/spatchcocked-turkey-aka-butterflied-469154
query-0,Q0,cooking+recipe1m+e6dd2efb045e7bf3f45960daeb07dcc9,1,how to spatchcock a turkey,Turkey Meatball & Creamy Pasta Skillet,http://www.kraftrecipes.com/recipes/turkey-meatball-creamy-pasta-skillet-162377.aspx
query-0,Q0,cooking+recipe1m+e9263003ea034f10372a27ffd0d6c6bd,2,how to spatchcock a turkey,Grilled Butterflied Turkey with Caraway-Ancho Gravy,http://www.foodandwine.com/recipes/grilled-butterflied-turkey-with-caraway-ancho-gravy
query-0,Q0,cooking+recipe1m+ebcd0316e209f3f3bb0d12ff6c779d2c,0,how to spatchcock a turkey,Turkey Polynesian (Low Calorie) Recipe,http://cookeatshare.com/recipes/turkey-polynesian-low-calorie-35685
query-0,Q0,cooking+recipe1m+f19aa3e9d56a32d1ad307638b3f92dd0,1,how to spatchcock a turkey,How To Spatchcock,https://cookpad.com/us/recipes/349923-how-to-spatchcock
query-0,Q0,cooking+recipe1m+f1b2ed3553340d8cf6e585a1cbdc982e,0,how to spatchcock a turkey,Roast Spatchcock Chicken and Grapes,http://tastykitchen.com/recipes/main-courses/roast-spatchcock-chicken-and-grapes/
query-0,Q0,cooking+recipe1m+fbde67acb46e28dd711d79c5b4162822,1,how to spatchcock a turkey,Moist Turkey Meatballs,http://www.food.com/recipe/moist-turkey-meatballs-328338
query-1,Q0,cooking+recipe1m+039cf6282abd3990598b14e2c3f97e02,1,i want an easy to make dessert for christmas,"Easy Pistachio ""Better Than Tom Cruise"" Dessert",http://www.food.com/recipe/easy-pistachio-better-than-tom-cruise-dessert-29327
query-1,Q0,cooking+recipe1m+03ea2f5b31241bfa3dc838e88a8f89fb,2,i want an easy to make dessert for christmas,Layered Strawberry and Cream Dessert (EASY!),http://www.food.com/recipe/layered-strawberry-and-cream-dessert-easy-88575
query-1,Q0,cooking+recipe1m+0d50d93f76c656634513d5543be76a4a,2,i want an easy to make dessert for christmas,Easy Cherry Dessert Recipe,http://cookeatshare.com/recipes/easy-cherry-dessert-8033
query-1,Q0,cooking+recipe1m+108c2e1223b2307b1026c5b6a5116162,2,i want an easy to make dessert for christmas,Chris' Awesomely Easy Ice Cream Dessert,http://www.food.com/recipe/chris-awesomely-easy-ice-cream-dessert-104690
query-1,Q0,cooking+recipe1m+12b055dfb96e055417cf5a15b78ac142,2,i want an easy to make dessert for christmas,Easy Christmas Candies,http://www.food.com/recipe/easy-christmas-candies-147704
query-1,Q0,cooking+recipe1m+13174bfd525d2365bebd46cf14caf58a,1,i want an easy to make dessert for christmas,Christmas Flower Dessert,http://www.kraftrecipes.com/recipes/christmas-flower-dessert-112318.aspx
query-1,Q0,cooking+recipe1m+13b9a9378572bf1de1f97c2c7a044eb9,0,i want an easy to make dessert for christmas,Easy Halloween Dessert,http://tastykitchen.com/recipes/desserts/easy-halloween-dessert/
query-1,Q0,cooking+recipe1m+14166d791b821ebc1865d4db263e0a88,0,i want an easy to make dessert for christmas,Pumpkin Waffles with Maple Walnut Apples,http://www.foodnetwork.com/recipes/food-network-kitchens/pumpkin-waffles-with-maple-walnut-apples-recipe.html
query-1,Q0,cooking+recipe1m+1473ba2a432ee8090d6061d157c3955c,1,i want an easy to make dessert for christmas,C.M.P. Dessert,http://www.food.com/recipe/c-m-p-dessert-34639
query-1,Q0,cooking+recipe1m+156a03aa7f0b718affe49b24613d9fdb,2,i want an easy to make dessert for christmas,Strawberries with Creme Fraiche and Sugar,http://www.delish.com/recipefinder/strawberries-creme-fraiche-sugar-recipe-mslo0514
query-1,Q0,cooking+recipe1m+1bd24cf460be8a5e268f9d560d44837c,1,i want an easy to make dessert for christmas,Christmas Flower Dessert,http://www.kraftrecipes.com/recipes/christmas-flower-dessert-111431.aspx
query-1,Q0,cooking+recipe1m+1c6c6e0020b330fd69af34c87ae3e187,0,i want an easy to make dessert for christmas,Christmas Pudding,http://www.food.com/recipe/christmas-pudding-467969
query-1,Q0,cooking+recipe1m+1f50cb1df3ede86cb87639ec3bc6597b,0,i want an easy to make dessert for christmas,Horchata-Gelatine Dessert,http://www.kraftrecipes.com/recipes/horchata-gelatine-dessert-180547.aspx
query-1,Q0,cooking+recipe1m+24997e4fb24dead362afd35b0185f95a,1,i want an easy to make dessert for christmas,Trifle (An English Christmas Dessert) Recipe,http://cookeatshare.com/recipes/trifle-an-english-christmas-dessert-16604
query-1,Q0,cooking+recipe1m+257b407916ea46cee9d85b35ebf6f851,2,i want an easy to make dessert for christmas,Easy Quick Dessert Recipe,http://cookeatshare.com/recipes/easy-quick-dessert-47461
query-1,Q0,cooking+recipe1m+296549d0119847af73c76381e5e53be8,2,i want an easy to make dessert for christmas,Raspberry Christmas Dessert,http://www.food.com/recipe/raspberry-christmas-dessert-106861
query-1,Q0,cooking+recipe1m+2bfde642c9f6c321963a505c3c8be6e4,2,i want an easy to make dessert for christmas,Chocolate Angel Dessert,http://www.kraftrecipes.com/recipes/chocolate-angel-dessert-85435.aspx
query-1,Q0,cooking+recipe1m+30ce11820be687c2067514b762eb27a7,1,i want an easy to make dessert for christmas,Easy Strawberry Dessert,http://www.food.com/recipe/easy-strawberry-dessert-156464
query-1,Q0,cooking+recipe1m+3199fa3356fd2be6bae22fcc086df661,2,i want an easy to make dessert for christmas,Kalter Hund (German Chocolate Dessert) - Christmas Version,http://www.food.com/recipe/kalter-hund-german-chocolate-dessert-christmas-version-454674
query-1,Q0,cooking+recipe1m+359655d7cb0570932c8cf4518ca5dbd1,0,i want an easy to make dessert for christmas,Creamy Tropical Dessert,http://www.kraftrecipes.com/recipes/-15.aspx
query-1,Q0,cooking+recipe1m+35b9e6c5f99103b436723cf6313ec473,1,i want an easy to make dessert for christmas,Easy Strawberry Walnut Dessert,http://www.food.com/recipe/easy-strawberry-walnut-dessert-205128
query-1,Q0,cooking+recipe1m+3920d356a5fb9e76b1df5c9313211f76,2,i want an easy to make dessert for christmas,Easy Christmas Fudge,http://www.kraftrecipes.com/recipes/easy-christmas-fudge-164789.aspx
query-1,Q0,cooking+recipe1m+3a38f316324e85bf691bc988894cc079,0,i want an easy to make dessert for christmas,Baked Christmas Pudding with Brandy Sauce,https://recipeland.com/recipe/v/baked-christmas-pudding-brandy--5000
query-1,Q0,cooking+recipe1m+3c71a8418971defd8b64c808accc8d68,0,i want an easy to make dessert for christmas,Pumpkin Waffles with Trail-Mix Topping,http://www.foodnetwork.com/recipes/claire-robinson/pumpkin-waffles-with-trail-mix-topping-recipe.html
query-1,Q0,cooking+recipe1m+3efbd1fa14a7f98f30d47f4b20b664ce,0,i want an easy to make dessert for christmas,Christmas Pie with Rum Gingerbread Caramel Sauce,http://tastykitchen.com/recipes/desserts/christmas-pie-with-rum-gingerbread-caramel-sauce/
query-1,Q0,cooking+recipe1m+46bee43d53a0609478f84b1e4b451dfd,0,i want an easy to make dessert for christmas,"Easy, Quick, Cherry Dessert Recipe",http://cookeatshare.com/recipes/easy-quick-cherry-dessert-8285
query-1,Q0,cooking+recipe1m+46df4845bc4822ed35b50decdc7d9abe,0,i want an easy to make dessert for christmas,Brown Sugar Mixture,http://www.delish.com/recipefinder/brown-sugar-mixture-recipe-mslo0713
query-1,Q0,cooking+recipe1m+480f4d6c779f5cb876280c04a82a993f,1,i want an easy to make dessert for christmas,Christmas Croissant Dessert,http://www.food.com/recipe/christmas-croissant-dessert-259970
query-1,Q0,cooking+recipe1m+4ad02fcd5c8b16b0589a2d9c14a22c04,0,i want an easy to make dessert for christmas,Easy As Can Be Pineapple Dessert,http://www.food.com/recipe/easy-as-can-be-pineapple-dessert-42677
query-1,Q0,cooking+recipe1m+4df191a53aaa07058e9ae7541459acc1,2,i want an easy to make dessert for christmas,Mini Christmas Puds - Quick N Easy,http://www.food.com/recipe/mini-christmas-puds-quick-n-easy-271869
query-1,Q0,cooking+recipe1m+4ffcf31dd15dc64c2c9b4311059d0955,0,i want an easy to make dessert for christmas,Easy Christmas Mince Tarts,http://www.food.com/recipe/easy-christmas-mince-tarts-270854
query-1,Q0,cooking+recipe1m+557353206759fefdcaf5a85563a34daa,1,i want an easy to make dessert for christmas,Easy Mocha Fruitcake (Christmas),http://www.food.com/recipe/easy-mocha-fruitcake-christmas-174124
query-1,Q0,cooking+recipe1m+5a0cf178babbd21f832f8e9bebc29ffd,0,i want an easy to make dessert for christmas,Cafe Con Miel Recipe,http://cookeatshare.com/recipes/cafe-con-miel-97185
query-1,Q0,cooking+recipe1m+60d680dec46c352c20a5a805cc11fafc,1,i want an easy to make dessert for christmas,Mulled Wine Fruit and Nut Christmas Cake: Make-Ahead Fruitcake,http://www.food.com/recipe/mulled-wine-fruit-and-nut-christmas-cake-make-ahead-fruitcake-193383
query-1,Q0,cooking+recipe1m+6710c641791e53b4b06f6cf9de805a35,1,i want an easy to make dessert for christmas,Apple Syllabub Recipe,http://cookeatshare.com/recipes/apple-syllabub-68037
query-1,Q0,cooking+recipe1m+6b1918e167218a5a2ad8cbcbc520fb60,1,i want an easy to make dessert for christmas,Christmas Snow Dessert,http://www.food.com/recipe/christmas-snow-dessert-323012
query-1,Q0,cooking+recipe1m+6f461719e955172377cd8b7dde1f0196,2,i want an easy to make dessert for christmas,Pink Fluff Dessert Recipe,http://cookeatshare.com/recipes/pink-fluff-dessert-10453
query-1,Q0,cooking+recipe1m+72fdfa795cdf4a2249832c7ac4023a83,0,i want an easy to make dessert for christmas,Pear-Cranberry Pie with Crumb Topping,http://www.foodandwine.com/recipes/pear-cranberry-pie-with-crumb-topping
query-1,Q0,cooking+recipe1m+736e7f072fe685550c70a6f5f59f8279,1,i want an easy to make dessert for christmas,Quick-and-Easy Layered Dessert,http://www.kraftrecipes.com/recipes/quick-easy-layered-dessert-181972.aspx
query-1,Q0,cooking+recipe1m+7ce0062029efe519994099ce7367be2e,0,i want an easy to make dessert for christmas,"New Zealand-Style Ice-Cream, Christmas Pudding",http://www.food.com/recipe/new-zealand-style-ice-cream-christmas-pudding-177779
query-1,Q0,cooking+recipe1m+8073d5f7ab454614e4e2c96b518acbc5,2,i want an easy to make dessert for christmas,Chai Pumpkin Pie,http://www.vegetariantimes.com/recipe/chai-pumpkin-pie/
query-1,Q0,cooking+recipe1m+83e20788b340cb879b9139ffee855973,0,i want an easy to make dessert for christmas,Easy Christmas Appetizers,http://tastykitchen.com/recipes/appetizers-and-snacks/easy-christmas-appetizers/
query-1,Q0,cooking+recipe1m+8b74dc6f4039a1c884ceb6bfddd6c62f,1,i want an easy to make dessert for christmas,Easy Amaretti Ice Cream Dessert,https://cookpad.com/us/recipes/358419-easy-amaretti-ice-cream-dessert
query-1,Q0,cooking+recipe1m+8f24cadaf0924cf01574284d2618f257,0,i want an easy to make dessert for christmas,Pumpkin Cream Pie,http://www.food.com/recipe/pumpkin-cream-pie-442273
query-1,Q0,cooking+recipe1m+9034235fb1f472cb5b8d8fc20a528e9f,2,i want an easy to make dessert for christmas,Good And Easy Dessert Recipe,http://cookeatshare.com/recipes/good-and-easy-dessert-10680
query-1,Q0,cooking+recipe1m+97e72f72bff4cf3caac29a1b3e535108,1,i want an easy to make dessert for christmas,Easy Chocolate Dessert Recipe,http://cookeatshare.com/recipes/easy-chocolate-dessert-9971
query-1,Q0,cooking+recipe1m+9a4c231fdec871743300e1c2771dbfac,0,i want an easy to make dessert for christmas,Baked Apricot Pasta Dessert Recipe,http://cookeatshare.com/recipes/baked-apricot-pasta-dessert-73929
query-1,Q0,cooking+recipe1m+9ba98fc76656f45d5f19f269453a370e,2,i want an easy to make dessert for christmas,Tipsy Affogato,http://www.delish.com/recipefinder/tipsy-affogato-recipe-mslo0514
query-1,Q0,cooking+recipe1m+9c999aed9cfe47d06f2bfe44748e9e74,2,i want an easy to make dessert for christmas,Peppermint Stick Dessert Recipe,http://cookeatshare.com/recipes/peppermint-stick-dessert-10256
query-1,Q0,cooking+recipe1m+a1d518ac4951a10f198323ca07be1328,0,i want an easy to make dessert for christmas,White Christmas Pie,https://recipeland.com/recipe/v/white-christmas-pie-457
query-1,Q0,cooking+recipe1m+b15e87bbfbc307af466f5a6ddcdbec75,0,i want an easy to make dessert for christmas,Festive Christmas Martinis,http://tastykitchen.com/recipes/drinks/festive-christmas-martinis/
query-1,Q0,cooking+recipe1m+b30f16322bb969bd7c6f55ff5f66ae63,2,i want an easy to make dessert for christmas,Christmas Strawberries,http://www.food.com/recipe/christmas-strawberries-344254
query-1,Q0,cooking+recipe1m+be981e65b667b065697b4fa14570f50a,1,i want an easy to make dessert for christmas,"Vickys Easy Pickled Peaches, Gluten, Dairy, Egg & Soy-Free",https://cookpad.com/us/recipes/343634-vickys-easy-pickled-peaches-gluten-dairy-egg-soy-free
query-1,Q0,cooking+recipe1m+c294afef7cec9f5174c5a5f6cec502a7,0,i want an easy to make dessert for christmas,Banana Split Supreme Jello Dessert Recipe,http://cookeatshare.com/recipes/banana-split-supreme-jello-dessert-7959
query-1,Q0,cooking+recipe1m+c3580977555e290302f9a5fc40911e87,1,i want an easy to make dessert for christmas,Easy Christmas Cherry Cake Recipe,http://cookeatshare.com/recipes/easy-christmas-cherry-cake-16498
query-1,Q0,cooking+recipe1m+c495b85fdfcf330525932d44b558f75f,0,i want an easy to make dessert for christmas,Vanilla Bean Rum or Brandy Butter (Hard Sauce),http://www.food.com/recipe/vanilla-bean-rum-or-brandy-butter-hard-sauce-444744
query-1,Q0,cooking+recipe1m+c756f99f1d85fa3c4aeba0874cde91c0,0,i want an easy to make dessert for christmas,Creamy Tropical Dessert,http://www.kraftrecipes.com/recipes/creamy-tropical-dessert-51039.aspx
query-1,Q0,cooking+recipe1m+ceb7a068929c0e56252a7f80457176f5,1,i want an easy to make dessert for christmas,Christmas Pie,http://allrecipes.com/recipe/christmas-pie/
query-1,Q0,cooking+recipe1m+ced55e7c073506994a45649d2b0bd1aa,2,i want an easy to make dessert for christmas,Easy Christmas Cake Recipe,http://cookeatshare.com/recipes/easy-christmas-cake-16487
query-1,Q0,cooking+recipe1m+d0df4b8878412a7e0315aedac4e1fc24,1,i want an easy to make dessert for christmas,Christmas Dessert,http://www.food.com/recipe/christmas-dessert-274275
query-1,Q0,cooking+recipe1m+d119ab6e5176e18062e3452c877150b0,0,i want an easy to make dessert for christmas,Christmas Cake,http://www.food.com/recipe/christmas-cake-344103
query-1,Q0,cooking+recipe1m+d3d6c5806bb82f2b3c148ef1b0c21cc4,0,i want an easy to make dessert for christmas,Easy Pina Colada Dessert,http://www.kraftrecipes.com/recipes/easy-pina-colada-dessert-52634.aspx
query-1,Q0,cooking+recipe1m+d47d5d14c356c5f91b342ed1e7328c01,0,i want an easy to make dessert for christmas,Easy Pineapple Dessert,http://www.food.com/recipe/easy-pineapple-dessert-92116
query-1,Q0,cooking+recipe1m+d67f691be2fc9a333f5ec1e425514e19,0,i want an easy to make dessert for christmas,Chocolate Silk Pie,http://www.foodnetwork.com/recipes/chocolate-silk-pie.html
query-1,Q0,cooking+recipe1m+dc0b3532d763fc65bedb021fab0211c9,2,i want an easy to make dessert for christmas,Easy As Pie Apple Dessert Recipe,http://cookeatshare.com/recipes/easy-as-pie-apple-dessert-32527
query-1,Q0,cooking+recipe1m+e6414e088ad92352614f7cb25bbfe29e,2,i want an easy to make dessert for christmas,A Simple Christmas Cake (that even Santa will love),https://cookpad.com/us/recipes/144974-a-simple-christmas-cake-that-even-santa-will-love
query-1,Q0,cooking+recipe1m+e913fab207877a8e43c301e208ba750f,1,i want an easy to make dessert for christmas,Tiramisu Dessert,http://www.kraftrecipes.com/recipes/tiramisu-dessert-62588.aspx
query-1,Q0,cooking+recipe1m+e9de2d528b1d30ce3ab89b1d5cd84215,2,i want an easy to make dessert for christmas,Merangutang Pie,http://www.food.com/recipe/merangutang-pie-136542
query-1,Q0,cooking+recipe1m+eaab5c5def7f75968b63a8352dd58f36,0,i want an easy to make dessert for christmas,Easy Christmas Cupcake Decorations,https://cookpad.com/us/recipes/170907-easy-christmas-cupcake-decorations
query-1,Q0,cooking+recipe1m+ede98c420ab19cfec044834388b9fa6a,1,i want an easy to make dessert for christmas,Easy Cherry Delight Dessert (No-Bake),http://www.food.com/recipe/easy-cherry-delight-dessert-no-bake-82002
query-1,Q0,cooking+recipe1m+ee8ea22c4a75dc4406ea9e5ab70c5dd4,1,i want an easy to make dessert for christmas,Easy Berry Layered Dessert,http://www.kraftrecipes.com/recipes/easy-berry-layered-dessert-189167.aspx
query-1,Q0,cooking+recipe1m+eee0ca2995d4204e214fc735f9adc910,0,i want an easy to make dessert for christmas,Chocolate Glaze,http://www.delish.com/recipefinder/chocolate-glaze-recipe-mslo0514
query-1,Q0,cooking+recipe1m+f28064575490464846435b5944c161c7,1,i want an easy to make dessert for christmas,Thank You Easy Dessert Recipe,http://cookeatshare.com/recipes/thank-you-easy-dessert-10867
