id,raw query,target query,domain,knowledge,reasoning
query-41,jamaican ginger cake with malasses,jamaican ginger cake with malasses,cooking,,
query-42,help me with coconut taro cake,coconut taro cake,cooking,,
query-43,vietnamese vegetable hot pot,vietnamese vegetable hot pot,cooking,,
query-44,a caprese chicken saltimbocca,caprese chicken saltimbocca,cooking,,
query-45,I would like a risotto with lemon and peas,risotto with lemon and peas,cooking,,
query-46,I want grilled peaches with burrata and honey,grilled peaches with burrata and honey,cooking,,
query-47,air fryer parmesan zucchini fries,air fryer parmesan zucchini fries,cooking,,
query-48,halloween themed cake,halloween cake,cooking,,
query-49,I would like to make a turkey with apple sauce stuffing,urkey with apple sauce stuffing,cooking,,
query-50,rustic pork apricot and chestnut terrine, pork apricot and chestnut terrine,cooking,,
query-51,pearl barly casserole,pearl barly casserole,cooking,,
query-52,turkish chicken shish kebab, turkish chicken shish kebab,cooking,,
query-53,apple sandwiches with almond butter and granola,apple sandwiches with almond butter and granola,cooking,,
query-54,cauliflower soup with cheese,cauliflower soup with cheese,cooking,,
query-55,borscht with cabbage,borscht with cabbage,cooking,,
query-56,cottage cheese dumplings with bacon,cottage cheese dumplings with bacon,cooking,,
query-57,asparagus soup with poached egg,asparagus soup with poached egg,cooking,,
query-58,thai red curry butternut squash soup,Thai red curry butternut squash soup,cooking,,
query-59,pierogi with onions,pierogi with onions,cooking,,
query-60,garlic roast potatoes with bay leaves,garlic roast potatoes with bay leaves,cooking,,
query-61,chocolate mousse with truffles,chocolate mousse with truffles,cooking,,
query-62,I would like some chai latte,chai latte,cooking,,
query-63,vegetarian stuffed mushrooms,vegetarian stuffed mushrooms,cooking,,
query-64,vegetable pakora with mint chutney,vegetable pakora with mint chutney,cooking,,
query-65,tiramisu doughnuts,tiramisu doughnuts,cooking,,
query-66,I want to make creamy jalapeno dip,creamy jalapeno dip,cooking,,
query-67,cilantro yougurt chutney,cilantro yougurt chutney,cooking,,
query-68,cookie dough pizza,cookie dough pizza,cooking,,
query-69,chilli chocolate cookies,chilli chocolate cookies,cooking,,
query-70,lemon garlic salmon,lemon garlic salmon,cooking,,
query-71,halibut tacos,halibut tacos,cooking,,
query-72,johnny marzetti,johnny marzetti,cooking,,
query-73,yakamein noodle soup,yakamein noodle soup,cooking,,
query-74,watermelon agua fresca,watermelon agua fresca,cooking,,
query-75,cheesecake milkshake,cheesecake milkshake,cooking,,
query-76,a smoothie with pinapple and cucumber,pinapple and cucumber smoothie,cooking,,
query-77,blueberry nut smoothie,blueberry nut smoothie,cooking,,
query-78,chocolate protein smoothie,chocolate protein smoothie,cooking,,
query-79,chinese steamed cod fish,chinese steamed cod fish,cooking,,
query-80,creamy zucchini lasagne,creamy zucchini lasagne,cooking,,
query-81,herb crusted lamb rack,herb crusted lamb rack,cooking,,
query-82,egg free chicken nuggets,egg free chicken nuggets,cooking,,
query-83,cheese and onion rolls,cheese and onion rolls,cooking,,
query-84,garlic bread pizza,garlic bread pizza,cooking,,
query-85,honey smoked salmon,honey smoked salmon,cooking,,
query-86,baked lobster mac and cheese,baked lobster mac and cheese,cooking,,
query-87,potato and chorizo stew,potato and chorizo stew,cooking,,
query-88,spanish wrinkled potatoes,spanish wrinkled potatoes,cooking,,
query-89,french fries with cheese,french fries with cheese,cooking,,
query-90,louisiana seafood gumbo,louisiana seafood gumbo,cooking,,
query-91,fried yellow tomatoes,fried yellow tomatoes,cooking,,
query-92,tuna quinoa salad,tuna quinoa salad,cooking,,
query-93,poached eggs with avocado and salmon,poached eggs with avocado and salmon,cooking,,
query-94,scallion noodles,scallion noodles,cooking,,
query-95,vegan mango yogurt,vegan mango yogurt,cooking,,
query-96,vegetable thai green curry,vegetable thai green curry,cooking,,
query-97,baked butternut squash,baked butternut squash,cooking,,
query-98,hash browns,hash browns,cooking,,
query-99,spinach and pesto soup,spinach and pesto soup,cooking,,
